sample_idx,has_hemorrhage,iou_hemorrhage,iou_background,mean_iou,true_positives,false_positives,false_negatives,true_negatives,sensitivity,specificity,precision,recall,dice
981,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
982,True,0.7818,0.9979,0.8898,480,123,11,64922,0.9776,0.9981,0.796,0.9776,0.8775
983,True,0.0,0.9596,0.4798,0,0,2646,62890,0.0,1.0,N/A,0.0,0.0
984,True,0.0,0.9969,0.4985,0,123,78,65335,0.0,0.9981,0.0,0.0,0.0
985,True,0.0,0.9978,0.4989,0,84,60,65392,0.0,0.9987,0.0,0.0,0.0
986,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
987,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
988,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
989,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
990,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
991,True,0.0,0.9881,0.4941,0,701,77,64758,0.0,0.9893,0.0,0.0,0.0
992,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
993,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
994,True,0.2728,0.982,0.6274,439,276,894,63927,0.3293,0.9957,0.614,0.3293,0.4287
995,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
996,True,0.15,0.9919,0.571,93,0,527,64916,0.15,1.0,1.0,0.15,0.2609
997,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
998,True,0.6912,0.9979,0.8446,300,7,127,65102,0.7026,0.9999,0.9772,0.7026,0.8174
999,True,0.9168,0.9985,0.9577,1058,89,7,64382,0.9934,0.9986,0.9224,0.9934,0.9566
1000,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
1001,True,0.7448,0.9953,0.87,893,153,153,64337,0.8537,0.9976,0.8537,0.8537,0.8537
1002,True,0.0347,0.9911,0.5129,21,118,466,64931,0.0431,0.9982,0.1511,0.0431,0.0671
1003,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
1004,True,0.52,0.9993,0.7596,52,6,42,65436,0.5532,0.9999,0.8966,0.5532,0.6842
1005,False,0.0,0.9989,0.4995,0,69,0,65467,N/A,0.9989,0.0,N/A,0.0
1006,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
1007,True,0.7803,0.9914,0.8858,1950,73,476,63037,0.8038,0.9988,0.9639,0.8038,0.8766
1008,False,0.0,0.9997,0.4999,0,17,0,65519,N/A,0.9997,0.0,N/A,0.0
1009,True,0.7421,0.9909,0.8665,1672,578,3,63283,0.9982,0.9909,0.7431,0.9982,0.852
1010,True,0.6641,0.9967,0.8304,425,210,5,64896,0.9884,0.9968,0.6693,0.9884,0.7981
1011,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
1012,True,0.452,0.9973,0.7247,146,17,160,65213,0.4771,0.9997,0.8957,0.4771,0.6226
1013,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
1014,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
1015,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
1016,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
1017,True,0.4571,0.9991,0.7281,48,48,9,65431,0.8421,0.9993,0.5,0.8421,0.6275
1018,True,0.5175,0.9968,0.7572,222,45,162,65107,0.5781,0.9993,0.8315,0.5781,0.682
1019,True,0.0,0.9988,0.4994,0,0,81,65455,0.0,1.0,N/A,0.0,0.0
